ID,Angle,Measure
16,-90,1
16,-85,1
16,-80,1
16,-75,1
16,-70,1
16,-65,1
16,-60,1
16,-55,1
16,-50,1
16,-45,1
16,-40,1
16,-35,1
16,-30,1
16,-25,1
16,-20,1
16,-15,1
16,-10,1
16,-5,1
16,0,1
16,5,1
16,10,1
16,15,1
16,20,1
16,25,1
16,30,1
16,35,1
16,40,1
16,45,1
16,50,1
16,55,1
16,60,1
16,65,1
16,70,1
16,75,1
16,80,1
16,85,1
16,90,1
22,-90,1
22,-85,1
22,-80,1
22,-75,1
22,-70,1
22,-65,1
22,-60,1
22,-55,1
22,-50,1
22,-45,1
22,-40,1
22,-35,1
22,-30,1
22,-25,1
22,-20,1
22,-15,1
22,-10,1
22,-5,1
22,0,1
22,5,1
22,10,1
22,15,1
22,20,1
22,25,1
22,30,1
22,35,1
22,40,1
22,45,1
22,50,1
22,55,1
22,60,1
22,65,1
22,70,1
22,75,1
22,80,1
22,85,1
22,90,1
38,-90,1
38,-85,1
38,-80,1
38,-75,1
38,-70,1
38,-65,1
38,-60,1
38,-55,1
38,-50,1
38,-45,1
38,-40,1
38,-35,1
38,-30,1
38,-25,1
38,-20,1
38,-15,1
38,-10,1
38,-5,1
38,0,1
38,5,1
38,10,1
38,15,1
38,20,1
38,25,1
38,30,1
38,35,1
38,40,1
38,45,1
38,50,1
38,55,1
38,60,1
38,65,1
38,70,1
38,75,1
38,80,1
38,85,1
38,90,1
44,-90,1
44,-85,1
44,-80,1
44,-75,1
44,-70,1
44,-65,1
44,-60,1
44,-55,1
44,-50,1
44,-45,1
44,-40,1
44,-35,1
44,-30,1
44,-25,1
44,-20,1
44,-15,1
44,-10,1
44,-5,1
44,0,1
44,5,1
44,10,1
44,15,1
44,20,0.7769280000000001
44,25,0.62595
44,30,0.616999
44,35,0.348522
44,40,0.426431
44,45,0.506465
44,50,1
44,55,1
44,60,1
44,65,1
44,70,1
44,75,1
44,80,1
44,85,1
44,90,1
30,-90,0
30,-85,0
30,-80,0.40373
30,-75,1
30,-70,1
30,-65,1
30,-60,1
30,-55,1
30,-50,1
30,-45,1
30,-40,1
30,-35,1
30,-30,1
30,-25,1
30,-20,1
30,-15,1
30,-10,1
30,-5,1
30,0,1
30,5,1
30,10,1
30,15,1
30,20,0.181867
30,25,1
30,30,1
30,35,1
30,40,1
30,45,1
30,50,1
30,55,1
30,60,1
30,65,1
30,70,1
30,75,1
30,80,1
30,85,1
30,90,1
41,-90,1
41,-85,1
41,-80,1
41,-75,1
41,-70,1
41,-65,1
41,-60,1
41,-55,1
41,-50,1
41,-45,1
41,-40,1
41,-35,1
41,-30,1
41,-25,1
41,-20,1
41,-15,1
41,-10,1
41,-5,1
41,0,1
41,5,1
41,10,1
41,15,1
41,20,1
41,25,1
41,30,1
41,35,0
41,40,0
41,45,0
41,50,0
41,55,0
41,60,0.285255
41,65,1
41,70,1
41,75,1
41,80,1
41,85,1
41,90,1
13,-90,1
13,-85,1
13,-80,1
13,-75,1
13,-70,1
13,-65,1
13,-60,1
13,-55,1
13,-50,0.447745
13,-45,0.460659
13,-40,0.646958
13,-35,1
13,-30,1
13,-25,0
13,-20,0
13,-15,0
13,-10,0
13,-5,0
13,0,0
13,5,0
13,10,0
13,15,0
13,20,0
13,25,0
13,30,9.3495e-4
13,35,0.0395952
13,40,0.208296
13,45,1
13,50,1
13,55,1
13,60,1
13,65,1
13,70,1
13,75,1
13,80,1
13,85,1
13,90,1
29,-90,1
29,-85,1
29,-80,1
29,-75,1
29,-70,1
29,-65,1
29,-60,1
29,-55,1
29,-50,1
29,-45,0
29,-40,0
29,-35,0
29,-30,0
29,-25,0
29,-20,0
29,-15,0
29,-10,0
29,-5,0
29,0,0
29,5,0
29,10,0
29,15,0
29,20,0
29,25,0
29,30,0
29,35,0
29,40,0
29,45,1
29,50,1
29,55,1
29,60,1
29,65,1
29,70,1
29,75,1
29,80,1
29,85,1
29,90,1
40,-90,0.635258
40,-85,0.512604
40,-80,0.511357
40,-75,0
40,-70,0
40,-65,0
40,-60,0
40,-55,0
40,-50,0
40,-45,0.438507
40,-40,0.575694
40,-35,0.248025
40,-30,0.260199
40,-25,0
40,-20,0
40,-15,0
40,-10,0
40,-5,0
40,0,0
40,5,0.496997
40,10,1
40,15,1
40,20,1
40,25,1
40,30,1
40,35,0.369089
40,40,0.58112
40,45,0.69091
40,50,0.524968
40,55,0.361349
40,60,0.515111
40,65,0.425992
40,70,0.536142
40,75,1
40,80,1
40,85,1
40,90,1
20,-90,0
20,-85,0
20,-80,0
20,-75,0
20,-70,0
20,-65,0
20,-60,0
20,-55,0
20,-50,0
20,-45,0
20,-40,0
20,-35,0
20,-30,0
20,-25,0
20,-20,0
20,-15,0
20,-10,0
20,-5,0
20,0,0
20,5,1
20,10,1
20,15,1
20,20,1
20,25,1
20,30,1
20,35,1
20,40,1
20,45,1
20,50,1
20,55,1
20,60,1
20,65,1
20,70,1
20,75,1
20,80,1
20,85,1
20,90,1
53,-90,0
53,-85,0
53,-80,0
53,-75,0
53,-70,0
53,-65,0.274718
53,-60,0.38565
53,-55,0.492074
53,-50,0.550637
53,-45,0
53,-40,1
53,-35,0
53,-30,1
53,-25,1
53,-20,0
53,-15,0
53,-10,0
53,-5,0
53,0,0
53,5,0
53,10,0
53,15,1
53,20,1
53,25,1
53,30,1
53,35,1
53,40,1
53,45,1
53,50,1
53,55,1
53,60,1
53,65,1
53,70,1
53,75,1
53,80,1
53,85,1
53,90,1
2,-90,1
2,-85,1
2,-80,1
2,-75,1
2,-70,1
2,-65,1
2,-60,1
2,-55,1
2,-50,1
2,-45,1
2,-40,0.300115
2,-35,0.332113
2,-30,0.479571
2,-25,0.45848
2,-20,0.335383
2,-15,0.236934
2,-10,0.247849
2,-5,0.0402054
2,0,0
2,5,0.372654
2,10,0.54158
2,15,0.516658
2,20,0.227144
2,25,1
2,30,1
2,35,1
2,40,1
2,45,1
2,50,1
2,55,0.237904
2,60,0.384835
2,65,0.192832
2,70,0
2,75,0
2,80,0
2,85,0
2,90,0
8,-90,1
8,-85,1
8,-80,0.274486
8,-75,0
8,-70,0
8,-65,0
8,-60,0
8,-55,0
8,-50,0
8,-45,0
8,-40,0
8,-35,0
8,-30,0
8,-25,0
8,-20,0
8,-15,0
8,-10,0
8,-5,0
8,0,0
8,5,0
8,10,0
8,15,0
8,20,0
8,25,0
8,30,0
8,35,0
8,40,0
8,45,0
8,50,0
8,55,0.374347
8,60,1
8,65,1
8,70,0.584004
8,75,1
8,80,1
8,85,1
8,90,1
21,-90,0
21,-85,0
21,-80,0
21,-75,0
21,-70,0
21,-65,0
21,-60,0
21,-55,0
21,-50,0
21,-45,0
21,-40,0
21,-35,0
21,-30,0
21,-25,0
21,-20,0
21,-15,0
21,-10,0
21,-5,0
21,0,0
21,5,0
21,10,0
21,15,0
21,20,0
21,25,0
21,30,0
21,35,0
21,40,0
21,45,0
21,50,0
21,55,1
21,60,1
21,65,1
21,70,1
21,75,1
21,80,1
21,85,1
21,90,1
18,-90,1
18,-85,1
18,-80,1
18,-75,1
18,-70,1
18,-65,0
18,-60,0
18,-55,0
18,-50,0
18,-45,0
18,-40,0
18,-35,0
18,-30,0
18,-25,0
18,-20,0
18,-15,0
18,-10,0
18,-5,0
18,0,0
18,5,0
18,10,0
18,15,0
18,20,0
18,25,0
18,30,0
18,35,0
18,40,0
18,45,0
18,50,0
18,55,0
18,60,0
18,65,0
18,70,0
18,75,0
18,80,0
18,85,0
18,90,0
24,-90,1
24,-85,1
24,-80,1
24,-75,1
24,-70,1
24,-65,0.551465
24,-60,0.0636676
24,-55,0
24,-50,0.294626
24,-45,0.410324
24,-40,0.421308
24,-35,1
24,-30,1
24,-25,1
24,-20,1
24,-15,1
24,-10,0
24,-5,0
24,0,0
24,5,0
24,10,0
24,15,0
24,20,0
24,25,0
24,30,0
24,35,0
24,40,0
24,45,0
24,50,0
24,55,0
24,60,0
24,65,0
24,70,0
24,75,0
24,80,0
24,85,0
24,90,0
35,-90,0.853692
35,-85,0.494622
35,-80,0.12759
35,-75,0
35,-70,0
35,-65,0
35,-60,0
35,-55,0
35,-50,0
35,-45,0.344653
35,-40,0.689209
35,-35,0.869206
35,-30,1
35,-25,0.0260944
35,-20,0
35,-15,0
35,-10,0.221225
35,-5,0.6678076
35,0,0.984781
35,5,1
35,10,1
35,15,1
35,20,1
35,25,1
35,30,1
35,35,1
35,40,1
35,45,0.232834
35,50,0
35,55,0
35,60,0
35,65,0
35,70,0
35,75,0
35,80,0
35,85,0
35,90,0
19,-90,0.385175
19,-85,0.388573
19,-80,0.37121
19,-75,0.301562
19,-70,0.168121
19,-65,0
19,-60,0
19,-55,0
19,-50,0
19,-45,0.215809
19,-40,0.198423
19,-35,0.539424
19,-30,0.257919
19,-25,0.282587
19,-20,0.294307
19,-15,0.143593
19,-10,0
19,-5,0
19,0,0
19,5,0
19,10,0
19,15,0
19,20,0
19,25,0.39382
19,30,0.408968
19,35,0.326775
19,40,0.405909
19,45,0.536721
19,50,0.409457
19,55,0.404528
19,60,0.418016
19,65,0.493298
19,70,0.387729
19,75,0.269815
19,80,1
19,85,1
19,90,1
14,-90,0.697297
14,-85,0.270426
14,-80,0.0144705
14,-75,0
14,-70,0.523239
14,-65,0.491657
14,-60,0.429685
14,-55,0.405273
14,-50,0.657456
14,-45,0.730032
14,-40,0.487865
14,-35,0.248089
14,-30,0.0850102
14,-25,0
14,-20,0
14,-15,0
14,-10,0
14,-5,0
14,0,0
14,5,0
14,10,0
14,15,0
14,20,0
14,25,0
14,30,0
14,35,0.448957
14,40,0.50812
14,45,0.533363
14,50,0.354795
14,55,0.325577
14,60,0.157923
14,65,0.0813712
14,70,0
14,75,0
14,80,0
14,85,0
14,90,0
32,-90,0
32,-85,0
32,-80,0
32,-75,0.655447
32,-70,0.670745
32,-65,0.661228
32,-60,0.495761
32,-55,0
32,-50,0.00832002
32,-45,0.445835
32,-40,1
32,-35,0.8173999999999999
32,-30,0
32,-25,0
32,-20,0
32,-15,0
32,-10,0
32,-5,0
32,0,0
32,5,0
32,10,0
32,15,0
32,20,0
32,25,0
32,30,0
32,35,0
32,40,0
32,45,0
32,50,0
32,55,0
32,60,0
32,65,0
32,70,0
32,75,0
32,80,0
32,85,0
32,90,0
42,-90,0
42,-85,0
42,-80,0
42,-75,0
42,-70,0
42,-65,0.587272
42,-60,0.559829
42,-55,0.688734
42,-50,0.666378
42,-45,0.651653
42,-40,0.543278
42,-35,0.569433
42,-30,0
42,-25,0.0324234
42,-20,0.5328269999999999
42,-15,1
42,-10,1
42,-5,0.428341
42,0,0.387213
42,5,0
42,10,0
42,15,0
42,20,0.0708994
42,25,0.0829374
42,30,0.212223
42,35,0.25829
42,40,0.215122
42,45,0.434621
42,50,0.494283
42,55,0.459552
42,60,0.465016
42,65,0.53064
42,70,0.558083
42,75,0.430013
42,80,0.509234
42,85,0.298023
42,90,0.386216
34,-90,0
34,-85,0.00802784
34,-80,0.180738
34,-75,0.220192
34,-70,0.195242
34,-65,0.533395
34,-60,0.743304
34,-55,0.730719
34,-50,0.717386
34,-45,0.832122
34,-40,0.821454
34,-35,0.863088
34,-30,0.631784
34,-25,0.321516
34,-20,0.349078
34,-15,0.267591
34,-10,0.262001
34,-5,0
34,0,0
34,5,0
34,10,0
34,15,0
34,20,0
34,25,0
34,30,0
34,35,0
34,40,0
34,45,0.12736
34,50,0.335975
34,55,0.446806
34,60,0.514543
34,65,0.315605
34,70,0.370676
34,75,0.33753
34,80,0
34,85,0.411114
34,90,0.413828
43,-90,0.335598
43,-85,0
43,-80,0.184831
43,-75,0.222655
43,-70,0
43,-65,0
43,-60,0
43,-55,0
43,-50,0
43,-45,0
43,-40,0
43,-35,0
43,-30,0
43,-25,0
43,-20,0
43,-15,0
43,-10,0
43,-5,0
43,0,0
43,5,0.0945705
43,10,0.804129
43,15,1
43,20,1
43,25,1
43,30,0.993015
43,35,0.88485
43,40,0.106341
43,45,0.145266
43,50,0.131914
43,55,0.0503694
43,60,0
43,65,0
43,70,0
43,75,0
43,80,0
43,85,0
43,90,0
23,-90,0
23,-85,0
23,-80,0
23,-75,0
23,-70,0
23,-65,0
23,-60,0
23,-55,0
23,-50,0
23,-45,0
23,-40,0
23,-35,0
23,-30,0
23,-25,0
23,-20,0
23,-15,0
23,-10,0
23,-5,0
23,0,0
23,5,0
23,10,0.368411
23,15,0.375444
23,20,0.330695
23,25,1
23,30,1
23,35,0.560538
23,40,0.554934
23,45,0.226434
23,50,0.85559
23,55,0.932301
23,60,0.935815
23,65,0.914865
23,70,0.683182
23,75,0
23,80,0
23,85,0.469117
23,90,0.801562
7,-90,0
7,-85,0
7,-80,0
7,-75,0
7,-70,0
7,-65,0
7,-60,0
7,-55,0
7,-50,0
7,-45,0
7,-40,0
7,-35,0
7,-30,0
7,-25,0
7,-20,0
7,-15,0
7,-10,0
7,-5,0
7,0,0
7,5,0
7,10,0
7,15,0
7,20,0
7,25,0
7,30,0
7,35,0.496798
7,40,0.800733
7,45,0.841909
7,50,0.92899
7,55,0.971673
7,60,1
7,65,0.943661
7,70,0.337268
7,75,0.129328
7,80,0
7,85,0
7,90,0
9,-90,0
9,-85,0
9,-80,0
9,-75,0
9,-70,0
9,-65,0
9,-60,0
9,-55,0
9,-50,0
9,-45,0
9,-40,0
9,-35,0
9,-30,0
9,-25,0
9,-20,0
9,-15,0
9,-10,0
9,-5,0
9,0,0
9,5,0
9,10,0
9,15,0
9,20,0
9,25,0
9,30,0
9,35,0
9,40,0
9,45,0
9,50,0
9,55,0
9,60,0
9,65,0
9,70,0.0372169
9,75,0.300557
9,80,0.429095
9,85,0.555173
9,90,0.176115
49,-90,0.497989
49,-85,0
49,-80,0.405513
49,-75,0.645604
49,-70,1
49,-65,1
49,-60,1
49,-55,1
49,-50,0
49,-45,0
49,-40,0
49,-35,0
49,-30,0
49,-25,0
49,-20,0
49,-15,0
49,-10,0
49,-5,0
49,0,0
49,5,0
49,10,0
49,15,0
49,20,0
49,25,0
49,30,0
49,35,0
49,40,0
49,45,0
49,50,0
49,55,0
49,60,0
49,65,0
49,70,0
49,75,0
49,80,0
49,85,0
49,90,0
25,-90,0.527012
25,-85,0.691963
25,-80,0.805121
25,-75,1
25,-70,0.981176
25,-65,0.983252
25,-60,0.329085
25,-55,0
25,-50,0
25,-45,0
25,-40,0
25,-35,0
25,-30,0
25,-25,0
25,-20,0
25,-15,0
25,-10,0
25,-5,0
25,0,0
25,5,0.132475
25,10,0.491035
25,15,0.505763
25,20,0.439346
25,25,0.435889
25,30,0.37415699999999996
25,35,0.212603
25,40,0.192207
25,45,0
25,50,0
25,55,0
25,60,0
25,65,0
25,70,0
25,75,0
25,80,0
25,85,0
25,90,0
36,-90,1
36,-85,1
36,-80,1
36,-75,1
36,-70,1
36,-65,0.321331
36,-60,0
36,-55,0
36,-50,0
36,-45,0
36,-40,0
36,-35,0
36,-30,0
36,-25,0
36,-20,0
36,-15,0
36,-10,0
36,-5,0
36,0,0
36,5,0
36,10,0
36,15,0
36,20,0
36,25,0
36,30,0
36,35,0
36,40,0
36,45,0
36,50,0
36,55,0
36,60,0
36,65,0
36,70,0
36,75,0
36,80,0
36,85,0
36,90,0
27,-90,0
27,-85,0
27,-80,0
27,-75,0
27,-70,0
27,-65,0
27,-60,0
27,-55,0
27,-50,0
27,-45,0
27,-40,0
27,-35,0
27,-30,0
27,-25,0
27,-20,0
27,-15,0
27,-10,0
27,-5,0
27,0,0
27,5,0
27,10,0
27,15,0
27,20,0
27,25,0
27,30,0
27,35,0
27,40,0
27,45,0.0990527
27,50,0.550484
27,55,0.931482
27,60,0.739878
27,65,0.86465
27,70,0.4963
27,75,0.818533
27,80,0.628963
27,85,0
27,90,0
11,-90,0
11,-85,0
11,-80,0
11,-75,0
11,-70,1
11,-65,0.488411
11,-60,1
11,-55,1
11,-50,1
11,-45,0
11,-40,0
11,-35,0.476451
11,-30,0.666694
11,-25,0.501389
11,-20,0.536305
11,-15,0
11,-10,0
11,-5,0
11,0,0
11,5,0
11,10,0
11,15,0
11,20,0
11,25,0
11,30,0
11,35,0
11,40,0
11,45,0
11,50,0
11,55,0
11,60,0
11,65,0
11,70,0
11,75,0
11,80,0
11,85,0
11,90,0
10,-90,0
10,-85,0
10,-80,0
10,-75,0
10,-70,0
10,-65,0
10,-60,0
10,-55,0
10,-50,0
10,-45,0
10,-40,0
10,-35,0
10,-30,0
10,-25,0
10,-20,0
10,-15,0
10,-10,0
10,-5,0
10,0,0
10,5,0
10,10,0
10,15,0
10,20,0.013735
10,25,0.437404
10,30,0.358063
10,35,0.0935198
10,40,0.310295
10,45,0.0649993
10,50,0
10,55,0
10,60,0
10,65,0
10,70,0
10,75,0
10,80,0
10,85,0
10,90,0
37,-90,0
37,-85,0
37,-80,0
37,-75,0
37,-70,0
37,-65,0
37,-60,0
37,-55,0
37,-50,0
37,-45,0
37,-40,0
37,-35,0
37,-30,0
37,-25,0
37,-20,0
37,-15,0
37,-10,0
37,-5,0
37,0,0
37,5,0
37,10,0
37,15,0
37,20,0
37,25,0
37,30,0
37,35,0
37,40,0
37,45,0
37,50,0.0594011
37,55,0.768791
37,60,0.642683
37,65,0.601119
37,70,0
37,75,0
37,80,0
37,85,0
37,90,0
15,-90,0
15,-85,0.334467
15,-80,0.544798
15,-75,0.474975
15,-70,0.464315
15,-65,0.148252
15,-60,0
15,-55,0
15,-50,0
15,-45,0
15,-40,0
15,-35,0
15,-30,0
15,-25,0
15,-20,0
15,-15,0
15,-10,0
15,-5,0
15,0,0
15,5,0
15,10,0
15,15,0
15,20,0
15,25,0
15,30,0
15,35,0
15,40,0
15,45,0
15,50,0
15,55,0
15,60,0
15,65,0
15,70,0.455347
15,75,0.668588
15,80,0.57135
15,85,0.520862
15,90,0.582645
28,-90,0.453038
28,-85,0.683635
28,-80,0.536755
28,-75,0.507847
28,-70,0.322819
28,-65,0
28,-60,0
28,-55,0
28,-50,0
28,-45,0
28,-40,0
28,-35,0
28,-30,0
28,-25,0
28,-20,0
28,-15,0
28,-10,0
28,-5,0
28,0,0
28,5,0
28,10,0
28,15,0
28,20,0
28,25,0
28,30,0
28,35,0
28,40,0
28,45,0
28,50,0
28,55,0
28,60,0
28,65,0
28,70,0
28,75,0
28,80,0
28,85,0
28,90,0
